Algorithm,Data,Accuracy,F1 Score,Precission,Recall,Kappa,AUC,prob
XGBClassifier'>,Train,0.8048876798876798,0.8861873928288077,0.7956707569281677,0.9999422432713411,0.26061304819384246,0.9407444431131649,0.01
XGBClassifier'>,Train,0.8170849420849421,0.892537698156979,0.8059680648014524,0.9999422432713411,0.32308339469191094,0.9407444431131649,0.030204081632653063
XGBClassifier'>,Train,0.821955071955072,0.8950933250607517,0.8101834518906776,0.9998844865426822,0.3473250824365193,0.9407444431131649,0.05040816326530612
XGBClassifier'>,Train,0.8247630747630748,0.8965660123271352,0.8126760563380282,0.9997689730853645,0.3612464772556061,0.9407444431131649,0.07061224489795918
XGBClassifier'>,Train,0.8269129519129519,0.8976998677488784,0.8145795096239823,0.9997112163567056,0.37174402206678747,0.9407444431131649,0.09081632653061224
XGBClassifier'>,Train,0.8287995787995788,0.8986914529026898,0.8162909159513253,0.9995957028993878,0.3809979683424014,0.9407444431131649,0.11102040816326529
XGBClassifier'>,Train,0.8313882063882064,0.9000546149645002,0.8186592231631736,0.9994224327134111,0.39360466479976397,0.9407444431131649,0.13122448979591836
XGBClassifier'>,Train,0.8347227097227097,0.9018217832104043,0.8217050581809546,0.9992491625274345,0.40956416571125465,0.9407444431131649,0.15142857142857144
XGBClassifier'>,Train,0.8374429624429625,0.9032460240775078,0.8243481576814911,0.9988448654268223,0.4228522470597399,0.9407444431131649,0.1716326530612245
XGBClassifier'>,Train,0.8406458406458407,0.9048965697826656,0.8276968767963211,0.9979785144969389,0.4388990422927712,0.9407444431131649,0.19183673469387755
XGBClassifier'>,Train,0.8442874692874693,0.9068039179643391,0.8314152260798382,0.9972276770243733,0.4564745180022405,0.9407444431131649,0.2120408163265306
XGBClassifier'>,Train,0.8484555984555985,0.9089759131397249,0.8358860023264831,0.9960725424511956,0.4766427858531044,0.9407444431131649,0.23224489795918368
XGBClassifier'>,Train,0.8535889785889786,0.9116658284141145,0.8415188388799296,0.9945708675060645,0.5010064648733223,0.9407444431131649,0.2524489795918367
XGBClassifier'>,Train,0.8581519831519832,0.9140411049958788,0.8468739222545204,0.9927804089176389,0.5227104511880125,0.9407444431131649,0.2726530612244898
XGBClassifier'>,Train,0.8615303615303616,0.9157276368491322,0.851559396106476,0.9903546263139655,0.5397588109236647,0.9407444431131649,0.29285714285714287
XGBClassifier'>,Train,0.8653474903474904,0.9176571597220358,0.8568923184847422,0.9876978167956567,0.5584318620617246,0.9407444431131649,0.3130612244897959
XGBClassifier'>,Train,0.8691646191646192,0.9195879624635962,0.8624683864441073,0.9848099803627123,0.5768616104765292,0.9407444431131649,0.333265306122449
XGBClassifier'>,Train,0.8717093717093717,0.9208188908145579,0.8668298154379525,0.9819799006584267,0.5898069755714714,0.9407444431131649,0.35346938775510206
XGBClassifier'>,Train,0.8728939978939979,0.9211936563205572,0.8706741399701754,0.9779369296523045,0.598479588399343,0.9407444431131649,0.3736734693877551
XGBClassifier'>,Train,0.8753071253071253,0.9223369951358146,0.8753112033195021,0.9747025528474067,0.6107808621770907,0.9407444431131649,0.39387755102040817
XGBClassifier'>,Train,0.8772376272376272,0.9231276443760646,0.8803185914902536,0.9703130414693312,0.6220748797409998,0.9407444431131649,0.4140816326530612
XGBClassifier'>,Train,0.8796946296946297,0.9242917886133967,0.8854210749047821,0.9667321242924801,0.6342565268846775,0.9407444431131649,0.4342857142857143
XGBClassifier'>,Train,0.8805282555282555,0.924434577494103,0.8896960632444848,0.9619960725424512,0.6413372685402381,0.9407444431131649,0.45448979591836736
XGBClassifier'>,Train,0.8806598806598807,0.9240647682858739,0.894304549875716,0.955873859304609,0.6469248006158568,0.9407444431131649,0.4746938775510204
XGBClassifier'>,Train,0.8815373815373816,0.9242083988322478,0.8990715456034953,0.9507912671826267,0.6540911768764923,0.9407444431131649,0.49489795918367346
XGBClassifier'>,Train,0.8827220077220077,0.9245405527482145,0.9042465072615826,0.9457664317893034,0.6620692836385442,0.9407444431131649,0.5151020408163265
